municode,iid,choice1,blue1,win1,group,grpmem,cogrpmem,idgroup,choice2,blue2,win2,renegade,renegadewin,head,urbr_2,female,yage,ysch,married,tcons,lcons,survhhsz,familyoutdeg,friendsoutdeg,insample
6,621,2,0,2700,1,4,3,606,1,0,3000,0,0,1,1,0,44,0,1,187618.66,12.142167,3,0,4,1
6,620,6,0,0,1,4,3,606,4,1,9000,0,0,0,1,1,41,1,1,802210.25,13.595126,11,0,5,1
7,724,2,0,2700,1,5,4,702,1,0,3000,0,0,0,0,1,40,2,0,347808.81,12.759408,9,0,0,1
7,702,6,0,0,1,5,4,702,1,0,3000,0,0,0,0,1,46,2,1,289915.09,12.577343,8,1,1,1
7,713,5,1,11000,1,5,4,702,5,1,11000,0,0,1,0,1,29,7,1,240591.41,12.390856,11,0,2,1
7,712,6,0,0,1,5,4,702,3,0,2400,0,0,0,0,1,35,8,1,495535.66,13.113395,6,0,2,1
7,703,1,0,3000,1,5,4,702,4,0,1800,1,0,1,0,0,50,5,1,222219.45,12.31142,6,2,0,1
7,722,4,1,9000,1,4,3,703,4,1,9000,0,0,0,0,1,30,8,0,268193.16,12.499463,7,0,0,1
7,719,3,0,2400,1,4,3,703,5,1,11000,0,0,0,0,1,30,6,1,361512.06,12.798051,4,0,0,1
7,721,5,1,11000,1,4,3,703,5,1,11000,0,0,0,0,1,27,7,1,283400.94,12.554618,3,0,1,1
7,720,5,1,11000,1,4,3,703,6,1,12000,0,0,0,1,1,40,0,0,154404.38,11.94733,5,0,1,1
7,704,4,0,1800,1,5,4,704,3,0,2400,0,0,0,0,1,32,1,1,346768.34,12.756413,6,0,0,1
7,707,5,1,11000,1,5,4,704,4,0,1800,0,0,0,0,0,19,8,0,296033.47,12.598228,7,1,0,1
7,706,3,0,2400,1,5,4,704,5,0,1000,0,0,0,0,1,52,5,1,523383.75,13.16807,10,0,1,1
7,708,6,1,12000,1,5,4,704,5,1,11000,0,0,0,0,1,26,5,1,206827.48,12.23964,4,2,0,1
7,717,6,1,12000,1,2,1,705,6,1,12000,0,0,0,0,1,67,4,1,361990.88,12.799375,5,1,3,1
7,705,6,1,12000,1,4,3,706,6,1,12000,1,1,0,0,1,37,2,0,250326.14,12.43052,15,2,4,1
7,725,3,1,7200,1,4,3,706,3,0,2400,0,0,0,0,1,24,4,1,331233.09,12.710578,6,0,0,1
7,711,6,1,12000,1,4,3,706,6,0,0,0,0,0,1,1,30,4,1,107834.59,11.588354,5,0,1,1
7,710,3,1,7200,1,4,3,706,5,0,1000,0,0,0,1,1,26,3,1,398952.16,12.896597,8,0,3,1
7,718,2,0,2700,1,2,1,707,3,0,2400,0,0,0,0,1,42,4,1,202504.16,12.218515,9,0,2,1
7,716,4,0,1800,1,2,1,707,4,1,9000,0,0,0,0,1,48,0,1,99971.695,11.512642,4,0,2,1
7,723,4,0,1800,1,2,1,708,5,0,1000,0,0,0,1,1,29,4,1,156933.95,11.96358,4,0,0,1
7,714,4,1,9000,1,2,1,708,4,0,1800,1,0,0,0,1,25,5,1,278435.44,12.536942,4,0,2,1
8,802,4,0,1800,1,2,1,801,5,0,1000,0,0,0,0,1,50,5,1,331988.84,12.712856,11,0,0,1
8,801,6,1,12000,1,2,1,801,5,0,1000,1,0,0,0,1,49,3,1,421027.56,12.950454,3,0,0,1
8,803,4,0,1800,1,3,2,802,2,0,2700,0,0,0,0,1,31,10,1,501241.47,13.124844,4,0,0,1
8,807,4,0,1800,1,3,2,802,4,0,1800,0,0,0,0,1,32,5,1,327388.59,12.698903,9,1,0,1
8,804,3,0,2400,1,3,2,802,1,0,3000,0,0,0,0,1,26,4,0,990136.06,13.805597,13,0,0,1
8,806,4,1,9000,1,2,1,803,4,0,1800,0,0,0,0,1,37,4,1,110613.34,11.613796,7,0,0,1
8,805,4,1,9000,1,2,1,803,4,0,1800,0,0,1,0,1,44,2,0,57958.199,10.967478,7,0,0,1
8,808,6,1,12000,1,2,1,804,5,1,11000,0,0,0,0,1,39,4,1,359605.16,12.792762,5,0,0,1
8,809,4,1,9000,1,2,1,804,4,1,9000,0,0,0,0,1,40,5,1,373755.09,12.831356,5,0,0,1
8,815,2,0,2700,1,5,4,806,6,1,12000,0,0,0,0,1,41,2,1,344875.56,12.750939,7,0,0,1
8,813,5,1,11000,1,5,4,806,4,0,1800,0,0,0,0,1,42,1,1,217719.39,12.290962,5,0,0,1
8,816,3,1,7200,1,5,4,806,4,1,9000,0,0,0,0,1,45,6,1,470316.44,13.061161,18,0,0,1
8,817,6,0,0,1,5,4,806,5,0,1000,0,0,0,0,1,38,1,1,156333.58,11.959747,7,0,0,1
8,814,1,0,3000,1,5,4,806,6,0,0,0,0,0,0,1,42,2,1,312777.94,12.653249,12,0,0,1
8,824,2,1,5700,1,8,7,807,5,1,11000,0,0,0,0,1,25,5,1,264458.69,12.48544,4,0,1,1
8,819,2,0,2700,1,8,7,807,5,0,1000,0,0,1,0,1,45,1,0,326034.78,12.694759,7,0,1,1
8,825,3,0,2400,1,8,7,807,2,1,5700,0,0,0,0,1,24,11,0,359779.41,12.793246,7,0,2,1
8,823,3,0,2400,1,8,7,807,5,0,1000,0,0,0,0,1,38,0,1,259204.77,12.465374,4,0,1,1
8,818,6,1,12000,1,8,7,807,5,1,11000,0,0,0,0,1,59,4,1,296119.72,12.598519,4,0,1,1
8,821,2,1,5700,1,8,7,807,2,1,5700,0,0,1,0,1,39,10,0,432994.16,12.978479,5,0,3,1
